date,name,location,photos,videos,href_url,paginated_url,year,month,season,level,page
"8/1
8/8",AAU Junior Olympic Games,"Norfolk, VA",,,https://www.milesplit.com/meets/194122-aau-junior-olympic-games-2015/results,https://wa.milesplit.com/results?year=2015&month=8&season=outdoor&level=hs&page=1,2015,8,outdoor,hs,1
"8/1
8/2",States Games of America,"Lincoln, NE",,,https://ne.milesplit.com/meets/210433-states-games-of-america-2015/results,https://wa.milesplit.com/results?year=2015&month=8&season=outdoor&level=hs&page=1,2015,8,outdoor,hs,1
9/30,2A GSHL HBay @ Washougal,",",,,https://www.milesplit.com/meets/219853-2a-gshl-hbay-washougal-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"Auburn, Peninsula, Sumner",",",,,https://www.milesplit.com/meets/219854-auburn-peninsula-sumner-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Bellevue @ Liberty,"Hillsboro, OR",,,https://or.milesplit.com/meets/219779-bellevue-liberty-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Burlington Home Meet,"Burlington, WA",,,https://wa.milesplit.com/meets/219743-burlington-home-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Eastside Catholic / Ingraham / Seattle Prep / Lakeside,"Seattle, WA",,,https://wa.milesplit.com/meets/219744-eastside-catholic-ingraham-seattle-prep-lakeside-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"Enumclaw, Lakes at Auburn Riverside","Auburn, WA",,,https://wa.milesplit.com/meets/219745-enumclaw-lakes-at-auburn-riverside-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"ER, PHS @ Rogers All City Meet","Puyallup, WA",,,https://wa.milesplit.com/meets/219852-er-phs-rogers-all-city-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,GK v. Spanaway Lake,"Spanaway, WA",,,https://wa.milesplit.com/meets/219746-gk-v-spanaway-lake-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,GNL 3 Pullman @ East Valley-Spokane,"Yakima, WA",,,https://wa.milesplit.com/meets/219747-gnl-3-pullman-east-valley-spokane-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,GNL 3 WV (Spokane) @ Clarkston,"Clarkston, WA",,,https://wa.milesplit.com/meets/219804-gnl-3-wv-spokane-clarkston-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,GSL #3 Mead @ LC,"Spokane, WA",,,https://wa.milesplit.com/meets/219749-gsl-3-mead-lc-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"GSL #3 NC, MtS","Spokane, WA",,,https://wa.milesplit.com/meets/219748-gsl-3-nc-mts-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
9/30,"GSL #3 ROGERS VS SHADLE, CV","Spokane, WA",,,https://wa.milesplit.com/meets/219750-gsl-3-rogers-vs-shadle-cv-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"Interlake, LW @ Mercer Island","Sacramento, CA",,,https://ca.milesplit.com/meets/219803-interlake-lw-mercer-island-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Juanita @ Sammamish,"Bellevue, WA",,,https://wa.milesplit.com/meets/219751-juanita-sammamish-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Kent-Meridian vs. Kentridge,"Kent, WA",,,https://wa.milesplit.com/meets/219752-kent-meridian-vs-kentridge-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Kentlake vs. Tahoma,"Maple Valley, WA",,,https://wa.milesplit.com/meets/219753-kentlake-vs-tahoma-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"Lynden Christitan, Squalicum, Sedro Woolley @ Mount Baker","Deming, WA",,,https://wa.milesplit.com/meets/219754-lynden-christitan-squalicum-sedro-woolley-mount-baker-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Mount Rainier vs. Decatur,",",,,https://www.milesplit.com/meets/219755-mount-rainier-vs-decatur-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Narrows Twilight,"Tacoma, WA",,,https://wa.milesplit.com/meets/219756-narrows-twilight-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,NEA #1 Deer Park/Colville/Medical Lake,"Medical Lake, WA",,,https://wa.milesplit.com/meets/219802-nea-1-deer-parkcolvillemedical-lake-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,NEA #1 Riverside vs. Chewelah,"Chattaroy, WA",,,https://wa.milesplit.com/meets/219757-nea-1-riverside-vs-chewelah-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"NWC Mer, Seh @ Lynden","Lynden, WA",,,https://wa.milesplit.com/meets/219758-nwc-mer-seh-lynden-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,OL KSS vs SHS @ Kingston HS,"Kingston, WA",,,https://wa.milesplit.com/meets/219759-ol-kss-vs-shs-kingston-hs-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,OL OHS vs NMHS @ Port Angeles HS,"Port Angeles, WA",,,https://wa.milesplit.com/meets/219760-ol-ohs-vs-nmhs-port-angeles-hs-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,PTHS & NKHS @ Bremerton HS,",",,,https://www.milesplit.com/meets/219777-pths-and-nkhs-bremerton-hs-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,R.A. Long & Woodland @ Mark Morris,"Longview, WA",,,https://wa.milesplit.com/meets/219778-ra-long-and-woodland-mark-morris-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"Stadium, Foss, Wilson, North Thurston","Tacoma, WA",,,https://wa.milesplit.com/meets/219801-stadium-foss-wilson-north-thurston-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Thomas Jefferson vs. Federal Way,"Auburn, WA",,,https://wa.milesplit.com/meets/219761-thomas-jefferson-vs-federal-way-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Tonasket Invite,"Tonasket, WA",,,https://wa.milesplit.com/meets/219929-tonasket-invite-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,Trico League Meet,"North Bonneville, WA",,,https://wa.milesplit.com/meets/219762-trico-league-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/30,"W.F. West, Black Hills @ Tumwater","Tumwater, WA",,,https://wa.milesplit.com/meets/219763-wf-west-black-hills-tumwater-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/29,ECL Meet,",",,,https://www.milesplit.com/meets/219499-ecl-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/29,Fort Vancouver vs Kelso,"Kelso, WA",,,https://wa.milesplit.com/meets/219647-fort-vancouver-vs-kelso-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/29,"Mt. View, Columbia River, Prairie @ Battle Ground","Battle Ground, WA",,,https://wa.milesplit.com/meets/219688-mt-view-columbia-river-prairie-battle-ground-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/29,Onalaska League Meet,"Onalaska, WA",,,https://wa.milesplit.com/meets/219742-onalaska-league-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/29,Skyview vs Evergreen,"Vancouver, WA",,,https://wa.milesplit.com/meets/219649-skyview-vs-evergreen-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/29,"Union, Heritage @ Camas","Camas, WA",,,https://wa.milesplit.com/meets/219690-union-heritage-camas-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Knight Invite,"Tacoma, WA",,,https://wa.milesplit.com/meets/219450-2nd-annual-knight-invite-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Mount Baker Invitational,"Silver Lake, WA",,,https://wa.milesplit.com/meets/219452-41st-annual-mount-baker-invitational-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,King's Crossing Invitational,"Shoreline, WA",,,https://wa.milesplit.com/meets/219460-9th-kings-crossing-invitational-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Bellevue Invitational,"Issaquah, WA",,,https://wa.milesplit.com/meets/214289-bellevue-invitational-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Bob Firman Invitational,"Eagle, ID",,,https://id.milesplit.com/meets/214375-bob-firman-invitational-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Connell Invitational,"Connell, WA",,,https://wa.milesplit.com/meets/214290-connell-invitational-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Montesano Invitational,"Montesano, WA",,,https://wa.milesplit.com/meets/214291-montesano-invitational-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Nike Portland XC Invite,"Portland, OR",,,https://or.milesplit.com/meets/206488-nike-portland-xc-invite-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/26,Northwest Classic,"Eugene, OR",,,https://or.milesplit.com/meets/216543-northwest-classic-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/25,Evergreen 1A/2A Rochester,"Rochester, WA",,,https://wa.milesplit.com/meets/219321-evergreen-1a2a-rochester-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/25,"Wil,Timb,Cap,Yelm, Lin @ Oly","Olympia, WA",,,https://wa.milesplit.com/meets/219497-wiltimbcapyelm-lin-oly-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/24,"Cascade, Arlington, Shorewood & Snohomish","Everett, WA",,,https://wa.milesplit.com/meets/219310-cascade-arlington-shorewood-and-snohomish-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=1,2015,9,outdoor,hs,1
9/24,CWAC League - Eph/Qui/Top@Pro,"Prosser, WA",,,https://wa.milesplit.com/meets/219373-cwac-league-ephquitoppro-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,CWAC League: East Valley & Othello @ Selah,"Yakima, WA",,,https://wa.milesplit.com/meets/219319-cwac-league-east-valley-and-othello-selah-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,CWAC League: Wapato & Grandview @ Ellensburg,"Ellensburg, WA",,,https://wa.milesplit.com/meets/219320-cwac-league-wapato-and-grandview-ellensburg-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,Evergreen 1A/2A Aberdeen,"Aberdeen, WA",,,https://wa.milesplit.com/meets/219857-evergreen-1a2a-aberdeen-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,Garfield Meet,"Seattle, WA",,,https://wa.milesplit.com/meets/219322-garfield-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,"Lynnwood, Jackson, Shorecrest @ Lynnwood","Bothell, WA",,,https://wa.milesplit.com/meets/219856-lynnwood-jackson-shorecrest-lynnwood-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,MCC League Meet #1,"Wenatchee, WA",,,https://wa.milesplit.com/meets/219323-mcc-league-meet-1-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,"MGHS, Meadowdale, Mariner @ EWHS","Lynnwood, WA",,,https://wa.milesplit.com/meets/219371-mghs-meadowdale-mariner-ewhs-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,"Pilchuck, Lk Stevens, Terrace","Marysville, WA",,,https://wa.milesplit.com/meets/219324-pilchuck-lk-stevens-terrace-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,Seamount Dual Meet,"Seattle, WA",,,https://wa.milesplit.com/meets/219858-seamount-dual-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/24,Seamount League meet,"SeaTac, WA",,,https://wa.milesplit.com/meets/219325-seamount-league-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"Bham ""City Meet""","Bellingham, WA",,,https://wa.milesplit.com/meets/219259-bham-city-meet-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,,,,,,,,,,
,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,,,,,,,,,,
9/23,"Bonney Lake, Peninsula, Auburn Riverside",",",,,https://www.milesplit.com/meets/219260-bonney-lake-peninsula-auburn-riverside-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"Bothell, Issaquah at Inglemoor","Kenmore, WA",,,https://wa.milesplit.com/meets/219261-bothell-issaquah-at-inglemoor-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"Centralia, Tumwater at W.F. West","Chehalis, WA",,,https://wa.milesplit.com/meets/219262-centralia-tumwater-at-wf-west-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,Emerald Ridge vs Spanaway Lake,"Graham, WA",,,https://wa.milesplit.com/meets/219263-emerald-ridge-vs-spanaway-lake-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,Federal Way vs. Mount Rainier,"Federal Way, WA",,,https://wa.milesplit.com/meets/219264-federal-way-vs-mount-rainier-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,Franklin / Lakeside / Blanchet / Nathan Hale / Bainbridge,"Seattle, WA",,,https://wa.milesplit.com/meets/219247-franklin-lakeside-blanchet-nathan-hale-bainbridge-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"GK, Bethel at Puyallup","Puyallup, WA",,,https://wa.milesplit.com/meets/219265-gk-bethel-at-puyallup-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,GNL East Valley at West Valley,"Spokane Valley, WA",,,https://wa.milesplit.com/meets/219266-gnl-east-valley-at-west-valley-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"GSL #2 NC, Ferris, CV","Spokane, WA",,,https://wa.milesplit.com/meets/219268-gsl-2-nc-ferris-cv-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,GSL #2 Rogers vs. Mead,"Spokane, WA",,,https://wa.milesplit.com/meets/219269-gsl-2-rogers-vs-mead-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"GSL #2 Shadle, GPrep @ LC","Spokane, WA",,,https://wa.milesplit.com/meets/219270-gsl-2-shadle-gprep-lc-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,GSL #2 U-High/MSHS,"Mead, WA",,,https://wa.milesplit.com/meets/219271-gsl-2-u-highmshs-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"Interlake, LW @ Bellevue","Bellevue, WA",,,https://wa.milesplit.com/meets/219272-interlake-lw-bellevue-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,Juanita @ Liberty,"Renton, WA",,,https://wa.milesplit.com/meets/219273-juanita-liberty-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"Lakes, Sumner, Auburn Mountainview","Lakewood, WA",,,https://wa.milesplit.com/meets/219274-lakes-sumner-auburn-mountainview-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,Mtn View vs Union,"Camas, WA",,,https://wa.milesplit.com/meets/219161-mtn-view-vs-union-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"NWC LC,NV at Lynden","Lynden, WA",,,https://wa.milesplit.com/meets/219275-nwc-lcnv-at-lynden-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,"NWC Meridian, Mt. Baker @ Blaine","Blaine, WA",,,https://wa.milesplit.com/meets/219276-nwc-meridian-mt-baker-blaine-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,OL KHS vs BHS @ PAHS,"Port Angeles, WA",,,https://wa.milesplit.com/meets/219277-ol-khs-vs-bhs-pahs-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
9/23,OL NMHS vs PTHS @ KSS,"Silverdale, WA",,,https://wa.milesplit.com/meets/219278-ol-nmhs-vs-pths-kss-2015/results,https://wa.milesplit.com/results?year=2015&month=9&season=outdoor&level=hs&page=2,2015,9,outdoor,hs,2
