meet_name,meet_url,year,month,state,level,season
American Fork Grass Relays,https://ut.milesplit.com/meets/214359-american-fork-grass-relays-2015/results,2015,8,UT,HS,XC
Region 5 Pre Meet,https://ut.milesplit.com/meets/217622-region-5-pre-meet-2015/results,2015,8,UT,HS,XC
Region 6 Pre Meet,https://ut.milesplit.com/meets/217598-region-6-pre-meet-2015/results,2015,8,UT,HS,XC
Region V Pre-Region Meet,https://ut.milesplit.com/meets/218130-region-v-pre-region-cross-country-meet-2015/results,2015,8,UT,HS,XC
Region VI Pre-Regions,https://ut.milesplit.com/meets/218131-region-vi-pre-regions-2015/results,2015,8,UT,HS,XC
Tri-Meet vs Salem Hills Dual,https://ut.milesplit.com/meets/217632-tri-meet-vs-salem-hills-dual-2015/results,2015,8,UT,HS,XC
SUU High School Invite,https://ut.milesplit.com/meets/214354-suu-high-school-invite-2015/results,2015,8,UT,HS,XC
Highland XC Invitational,https://ut.milesplit.com/meets/214353-highland-xc-invitational-2015/results,2015,8,UT,HS,XC
Pre Region 8 Meet,https://ut.milesplit.com/meets/217631-pre-region-8-meet-2015/results,2015,8,UT,HS,XC
Dart Challenge,https://ut.milesplit.com/meets/216376-dart-challenge-2015/results,2015,8,UT,HS,XC
Premier Invitational,https://ut.milesplit.com/meets/214351-premier-cross-country-invitational-2015/results,2015,8,UT,HS,XC
AAU Junior Olympic Games,https://www.milesplit.com/meets/194122-aau-junior-olympic-games-2015/results,2015,8,UT,HS,XC
States Games of America,https://ne.milesplit.com/meets/210433-states-games-of-america-2015/results,2015,8,UT,HS,XC
Sanpete Cross Country Classic,https://ut.milesplit.com/meets/214376-sanpete-cross-country-classic-2015/results,2015,9,UT,HS,XC
Ogden/Weber City County Meet,https://ut.milesplit.com/meets/220013-ogdenweber-city-county-meet-2015/results,2015,9,UT,HS,XC
Bob Firman Invitational,https://id.milesplit.com/meets/214375-bob-firman-invitational-2015/results,2015,9,UT,HS,XC
Nike Portland XC Invite,https://or.milesplit.com/meets/206488-nike-portland-xc-invite-2015/results,2015,9,UT,HS,XC
Pagosa Springs Wolf Creek Invitational,https://co.milesplit.com/meets/215262-pagosa-springs-wolf-creek-invitational-2015/results,2015,9,UT,HS,XC
Wasatch XC Invitational,https://ut.milesplit.com/meets/218304-wasatch-xc-invitational-2015/results,2015,9,UT,HS,XC
Copper Hills Invitational,https://ut.milesplit.com/meets/218302-copper-hills-invitational-2015/results,2015,9,UT,HS,XC
Nebo XC Invitational,https://ut.milesplit.com/meets/218303-nebo-xc-invitational-2015/results,2015,9,UT,HS,XC
John Thornton Invitational,https://ut.milesplit.com/meets/218299-john-thornton-invitational-2015/results,2015,9,UT,HS,XC
