meet_name,meet_url,year,month,state,level,season
AAU Junior Olympic Games,https://www.milesplit.com/meets/194122-aau-junior-olympic-games-2015/results,2015,8,WA,HS,XC
States Games of America,https://ne.milesplit.com/meets/210433-states-games-of-america-2015/results,2015,8,WA,HS,XC
2A GSHL HBay @ Washougal,https://www.milesplit.com/meets/219853-2a-gshl-hbay-washougal-2015/results,2015,9,WA,HS,XC
"Auburn, Peninsula, Sumner",https://www.milesplit.com/meets/219854-auburn-peninsula-sumner-2015/results,2015,9,WA,HS,XC
Bellevue @ Liberty,https://or.milesplit.com/meets/219779-bellevue-liberty-2015/results,2015,9,WA,HS,XC
Burlington Home Meet,https://wa.milesplit.com/meets/219743-burlington-home-meet-2015/results,2015,9,WA,HS,XC
Eastside Catholic / Ingraham / Seattle Prep / Lakeside,https://wa.milesplit.com/meets/219744-eastside-catholic-ingraham-seattle-prep-lakeside-2015/results,2015,9,WA,HS,XC
"Enumclaw, Lakes at Auburn Riverside",https://wa.milesplit.com/meets/219745-enumclaw-lakes-at-auburn-riverside-2015/results,2015,9,WA,HS,XC
"ER, PHS @ Rogers All City Meet",https://wa.milesplit.com/meets/219852-er-phs-rogers-all-city-meet-2015/results,2015,9,WA,HS,XC
GK v. Spanaway Lake,https://wa.milesplit.com/meets/219746-gk-v-spanaway-lake-2015/results,2015,9,WA,HS,XC
GNL 3 Pullman @ East Valley-Spokane,https://wa.milesplit.com/meets/219747-gnl-3-pullman-east-valley-spokane-2015/results,2015,9,WA,HS,XC
GNL 3 WV (Spokane) @ Clarkston,https://wa.milesplit.com/meets/219804-gnl-3-wv-spokane-clarkston-2015/results,2015,9,WA,HS,XC
GSL #3 Mead @ LC,https://wa.milesplit.com/meets/219749-gsl-3-mead-lc-2015/results,2015,9,WA,HS,XC
"GSL #3 NC, MtS",https://wa.milesplit.com/meets/219748-gsl-3-nc-mts-2015/results,2015,9,WA,HS,XC
"GSL #3 ROGERS VS SHADLE, CV",https://wa.milesplit.com/meets/219750-gsl-3-rogers-vs-shadle-cv-2015/results,2015,9,WA,HS,XC
"Interlake, LW @ Mercer Island",https://ca.milesplit.com/meets/219803-interlake-lw-mercer-island-2015/results,2015,9,WA,HS,XC
Juanita @ Sammamish,https://wa.milesplit.com/meets/219751-juanita-sammamish-2015/results,2015,9,WA,HS,XC
Kent-Meridian vs. Kentridge,https://wa.milesplit.com/meets/219752-kent-meridian-vs-kentridge-2015/results,2015,9,WA,HS,XC
Kentlake vs. Tahoma,https://wa.milesplit.com/meets/219753-kentlake-vs-tahoma-2015/results,2015,9,WA,HS,XC
