race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
474005,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474005/formatted/,1,individual,104,katie_fallback,
474005,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474005/formatted/,2,team,7,katie_fallback,
474007,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474007/formatted/,1,individual,59,katie_fallback,
474007,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474007/formatted/,2,team,5,katie_fallback,
474006,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474006/formatted/,1,individual,118,katie_fallback,
474006,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474006/formatted/,2,team,7,katie_fallback,
474008,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474008/formatted/,1,individual,1,katie_fallback,
474008,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474008/formatted/,2,individual,95,katie_fallback,
474008,https://ca.milesplit.com/meets/253438-capital-valley-conference-cvc-meet-1-2016/results/474008/formatted/,3,team,8,katie_fallback,
461474,https://ca.milesplit.com/meets/251172-prs-15-mile-time-trial-2016/results/461474/formatted/,1,individual,29,katie_fallback,
461474,https://ca.milesplit.com/meets/251172-prs-15-mile-time-trial-2016/results/461474/formatted/,2,team,3,katie_fallback,
461475,https://ca.milesplit.com/meets/251172-prs-15-mile-time-trial-2016/results/461475/formatted/,1,individual,23,katie_fallback,
461475,https://ca.milesplit.com/meets/251172-prs-15-mile-time-trial-2016/results/461475/formatted/,2,team,2,katie_fallback,
460939,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460939/formatted/,1,individual,81,katie_fallback,
460939,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460939/formatted/,2,team,7,katie_fallback,
460941,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460941/formatted/,1,individual,45,katie_fallback,
460941,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460941/formatted/,2,team,4,katie_fallback,
460940,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460940/formatted/,1,individual,112,katie_fallback,
460940,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460940/formatted/,2,team,16,katie_fallback,
460944,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460944/formatted/,1,individual,59,katie_fallback,
460944,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460944/formatted/,2,team,5,katie_fallback,
460942,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460942/formatted/,1,individual,20,katie_fallback,
460942,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460942/formatted/,2,team,1,katie_fallback,
460943,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460943/formatted/,1,individual,88,katie_fallback,
460943,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results/460943/formatted/,2,team,10,katie_fallback,
473671,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473671/formatted/,1,individual,88,katie_fallback,
473671,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473671/formatted/,2,team,5,katie_fallback,
473673,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473673/formatted/,1,individual,32,katie_fallback,
473673,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473673/formatted/,2,team,4,katie_fallback,
473672,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473672/formatted/,1,individual,68,katie_fallback,
473672,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473672/formatted/,2,team,6,katie_fallback,
473674,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473674/formatted/,1,individual,49,katie_fallback,
473674,https://ca.milesplit.com/meets/253367-ealsrl-center-meet-2016/results/473674/formatted/,2,team,6,katie_fallback,
476633,https://ca.milesplit.com/meets/253943-fall-river-invitational-2016/results/476633/formatted/,,no_tables,0,katie_fallback,
476637,https://ca.milesplit.com/meets/253943-fall-river-invitational-2016/results/476637/formatted/,,no_tables,0,katie_fallback,
476631,https://ca.milesplit.com/meets/253943-fall-river-invitational-2016/results/476631/formatted/,,max,0,max,0.85
476635,https://ca.milesplit.com/meets/253943-fall-river-invitational-2016/results/476635/formatted/,,no_tables,0,katie_fallback,
476632,https://ca.milesplit.com/meets/253943-fall-river-invitational-2016/results/476632/formatted/,,no_tables,0,katie_fallback,
476636,https://ca.milesplit.com/meets/253943-fall-river-invitational-2016/results/476636/formatted/,,no_tables,0,katie_fallback,
474428,https://ca.milesplit.com/meets/253614-del-rio-league-meet-1-2016/results/474428/formatted/,1,individual,100,katie_fallback,
474428,https://ca.milesplit.com/meets/253614-del-rio-league-meet-1-2016/results/474428/formatted/,2,team,5,katie_fallback,
474431,https://ca.milesplit.com/meets/253614-del-rio-league-meet-1-2016/results/474431/formatted/,1,individual,42,katie_fallback,
474431,https://ca.milesplit.com/meets/253614-del-rio-league-meet-1-2016/results/474431/formatted/,2,team,4,katie_fallback,
474429,https://ca.milesplit.com/meets/253614-del-rio-league-meet-1-2016/results/474429/formatted/,1,individual,112,katie_fallback,
