race_id,race_url,place,tsTeam,tsTeam_url,point,wind,heat
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,1,Richfield,https://ut.milesplit.com/teams/7811-richfield,36,2+7+8+9+10  (11+16),0:42 1-5 Split | 19:05 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,2,Payson,https://ut.milesplit.com/teams/7805-payson,58,1+3+17+18+19  (32+37),1:52 1-5 Split | 19:11 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,3,Union,https://ut.milesplit.com/teams/7834-union,75,4+5+20+22+24  (25+40),1:12 1-5 Split | 19:28 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,4,Carbon,https://ut.milesplit.com/teams/7740-carbon,137,12+21+23+33+48  (54+59),1:56 1-5 Split | 20:11 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,5,Juab,https://ut.milesplit.com/teams/7771-juab,146,13+29+31+34+39  (41+60),1:06 1-5 Split | 20:12 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,6,Manti,https://ut.milesplit.com/teams/7782-manti,146,6+14+38+43+45  (62+63),2:13 1-5 Split | 20:21 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,7,North Sanpete,https://ut.milesplit.com/teams/7794-north-sanpete,189,15+26+27+57+64  (72+81),2:41 1-5 Split | 20:51 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,8,Uintah,https://ut.milesplit.com/teams/7832-uintah,194,28+35+36+46+49  (55+56),1:21 1-5 Split | 20:50 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,9,Emery,https://ut.milesplit.com/teams/7754-emery,268,30+47+50+70+71  (79),3:14 1-5 Split | 22:00 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,10,Juan Diego,https://ut.milesplit.com/teams/7772-juan-diego,280,42+44+58+61+75,3:24 1-5 Split | 22:09 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,11,San Juan,https://ut.milesplit.com/teams/7817-san-juan,289,51+52+53+65+68  (69+74),1:36 1-5 Split | 22:10 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,12,South Sevier,https://ut.milesplit.com/teams/7821-south-sevier,359,66+67+73+76+77  (78+80),2:08 1-5 Split | 23:55 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,1,Richfield,https://ut.milesplit.com/teams/7811-richfield,66,1+11+13+18+23  (33+35),1:26 1-5 Split | 17:10 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,2,Carbon,https://ut.milesplit.com/teams/7740-carbon,67,7+9+10+16+25  (40+59),0:59 1-5 Split | 17:09 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,3,Payson,https://ut.milesplit.com/teams/7805-payson,78,5+6+20+21+26  (29+30),1:05 1-5 Split | 17:16 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,4,Juab,https://ut.milesplit.com/teams/7771-juab,99,8+12+19+28+32  (45+48),1:22 1-5 Split | 17:34 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,5,Emery,https://ut.milesplit.com/teams/7754-emery,121,3+4+24+41+49  (56+70),2:20 1-5 Split | 17:38 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,6,Uintah,https://ut.milesplit.com/teams/7832-uintah,163,14+27+34+42+46  (52),1:17 1-5 Split | 18:09 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,7,Union,https://ut.milesplit.com/teams/7834-union,165,15+17+36+44+53  (54+60),1:39 1-5 Split | 18:08 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,8,Manti,https://ut.milesplit.com/teams/7782-manti,192,22+38+39+43+50  (51+58),1:16 1-5 Split | 18:20 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,9,Grand County,https://ut.milesplit.com/teams/7759-grand-county,262,2+61+62+64+73,3:59 1-5 Split | 19:01 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,10,Juan Diego,https://ut.milesplit.com/teams/7772-juan-diego,300,37+47+66+74+76  (79+80),2:20 1-5 Split | 19:36 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,11,South Sevier,https://ut.milesplit.com/teams/7821-south-sevier,307,31+67+68+69+72  (75+81),2:11 1-5 Split | 19:36 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,12,San Juan,https://ut.milesplit.com/teams/7817-san-juan,311,55+57+63+65+71  (77+78),1:00 1-5 Split | 19:31 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,1,Uintah,https://ut.milesplit.com/teams/7832-uintah,31,1+3+4+11+12  (18+21),2:34 1-5 Split | 25:17 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,2,Manti,https://ut.milesplit.com/teams/7782-manti,56,5+7+10+14+20  (24+29),2:35 1-5 Split | 26:22 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,3,Emery,https://ut.milesplit.com/teams/7754-emery,62,2+9+15+17+19,3:31 1-5 Split | 26:28 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,4,Juab,https://ut.milesplit.com/teams/7771-juab,96,6+16+22+25+27,5:57 1-5 Split | 28:16 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,5,Payson,https://ut.milesplit.com/teams/7805-payson,98,8+13+23+26+28,5:55 1-5 Split | 28:29 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,1,Uintah,https://ut.milesplit.com/teams/7832-uintah,66,4+7+13+14+28  (34+44),3:00 1-5 Split | 21:55 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,2,Union,https://ut.milesplit.com/teams/7834-union,78,5+10+20+21+22  (23+32),2:17 1-5 Split | 22:15 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,3,Payson,https://ut.milesplit.com/teams/7805-payson,87,2+17+18+19+31,4:05 1-5 Split | 22:21 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,4,Carbon,https://ut.milesplit.com/teams/7740-carbon,124,6+11+26+38+43  (57),3:47 1-5 Split | 22:51 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,5,Grand County,https://ut.milesplit.com/teams/7759-grand-county,145,1+9+30+46+59  (60),7:03 1-5 Split | 23:01 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,6,Richfield,https://ut.milesplit.com/teams/7811-richfield,149,8+15+29+48+49  (50+54),3:23 1-5 Split | 23:27 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,7,Emery,https://ut.milesplit.com/teams/7754-emery,165,24+25+33+41+42  (45+63),1:25 1-5 Split | 23:49 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,8,Manti,https://ut.milesplit.com/teams/7782-manti,175,12+37+39+40+47  (51+61),2:58 1-5 Split | 23:44 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,9,Juan Diego,https://ut.milesplit.com/teams/7772-juan-diego,176,3+27+35+55+56  (64),5:47 1-5 Split | 23:38 Avg
,https://ut.milesplit.com/meets/362767-carbon-invitational-2019/results,10,San Juan,https://ut.milesplit.com/teams/7817-san-juan,215,16+36+52+53+58  (62),3:32 1-5 Split | 24:34 Avg
,https://ut.milesplit.com/meets/372178-region-19-championships-2019/results,1,Pinnacle,https://ut.milesplit.com/teams/29699-pinnacle,17,1+2+3+5+6  (7+10),2:05 1-5 Split | 19:37 Avg
,https://ut.milesplit.com/meets/372178-region-19-championships-2019/results,2,Monument Valley,https://ut.milesplit.com/teams/7787-monument-valley,44,4+8+9+11+12,4:31 1-5 Split | 22:03 Avg
